lane_type,x,y,s
center,0,0,0
center,12.25,0,12.25
center,24.5,0,24.5
center,36.75,0,36.75
center,49,0,49
center,61.25,0,61.25
center,73.5,0,73.5
center,85.75,0,85.75
center,98,0,98
center,110.25,0,110.25
center,122.5,0,122.5
center,134.75,0,134.75
center,147,0,147
center,159.25,0,159.25
center,171.5,0,171.5
center,183.75,0,183.75
center,196,0,196
center,208.25,0,208.25
center,220.5,0,220.5
center,232.75,0,232.75
center,10,-10,0
center,10,2.25,12.25
center,10,14.5,24.5
center,10,26.75,36.75
center,10,39,49
center,10,51.25,61.25
center,10,63.5,73.5
center,10,75.75,85.75
center,10,88,98
center,10,100.25,110.25
center,10,112.5,122.5
center,10,124.75,134.75
center,10,137,147
center,10,149.25,159.25
center,10,161.5,171.5
center,10,173.75,183.75
center,10,186,196
center,10,198.25,208.25
center,10,210.5,220.5
center,10,222.75,232.75
center,-10,10,0
center,-10,-2.25,12.25
center,-10,-14.5,24.5
center,-10,-26.75,36.75
center,-10,-39,49
center,-10,-51.25,61.25
center,-10,-63.5,73.5
center,-10,-75.75,85.75
center,-10,-88,98
center,-10,-100.25,110.25
center,-10,-112.5,122.5
center,-10,-124.75,134.75
center,-10,-137,147
center,-10,-149.25,159.25
center,-10,-161.5,171.5
center,-10,-173.75,183.75
center,-10,-186,196
center,-10,-198.25,208.25
center,-10,-210.5,220.5
center,-10,-222.75,232.75
center,-10,-10,0
center,2.25,-10,12.25
center,14.5,-10,24.5
center,26.75,-10,36.75
center,39,-10,49
center,51.25,-10,61.25
center,63.5,-10,73.5
center,75.75,-10,85.75
center,88,-10,98
center,100.25,-10,110.25
center,112.5,-10,122.5
center,124.75,-10,134.75
center,137,-10,147
center,149.25,-10,159.25
center,161.5,-10,171.5
center,173.75,-10,183.75
center,186,-10,196
center,198.25,-10,208.25
center,210.5,-10,220.5
center,222.75,-10,232.75
center,0,10,0
center,12.25,10,12.25
center,24.5,10,24.5
center,36.75,10,36.75
center,49,10,49
center,61.25,10,61.25
center,73.5,10,73.5
center,85.75,10,85.75
center,98,10,98
center,110.25,10,110.25
center,122.5,10,122.5
center,134.75,10,134.75
center,147,10,147
center,159.25,10,159.25
center,171.5,10,171.5
center,183.75,10,183.75
center,196,10,196
center,208.25,10,208.25
center,220.5,10,220.5
center,232.75,10,232.75
center,20,20,0
center,20,7.75,12.25
center,20,-4.5,24.5
center,20,-16.75,36.75
center,20,-29,49
center,20,-41.25,61.25
center,20,-53.5,73.5
center,20,-65.75,85.75
center,20,-78,98
center,20,-90.25,110.25
center,20,-102.5,122.5
center,20,-114.75,134.75
center,20,-127,147
center,20,-139.25,159.25
center,20,-151.5,171.5
center,20,-163.75,183.75
center,20,-176,196
center,20,-188.25,208.25
center,20,-200.5,220.5
center,20,-212.75,232.75
center,10,10,0
center,-2.25,10,12.25
center,-14.5,10,24.5
center,-26.75,10,36.75
center,-39,10,49
center,-51.25,10,61.25
center,-63.5,10,73.5
center,-75.75,10,85.75
center,-88,10,98
center,-100.25,10,110.25
center,-112.5,10,122.5
center,-124.75,10,134.75
center,-137,10,147
center,-149.25,10,159.25
center,-161.5,10,171.5
center,-173.75,10,183.75
center,-186,10,196
center,-198.25,10,208.25
center,-210.5,10,220.5
center,-222.75,10,232.75
center,0,-10,0
center,0,2.25,12.25
center,0,14.5,24.5
center,0,26.75,36.75
center,0,39,49
center,0,51.25,61.25
center,0,63.5,73.5
center,0,75.75,85.75
center,0,88,98
center,0,100.25,110.25
center,0,112.5,122.5
center,0,124.75,134.75
center,0,137,147
center,0,149.25,159.25
center,0,161.5,171.5
center,0,173.75,183.75
center,0,186,196
center,0,198.25,208.25
center,0,210.5,220.5
center,0,222.75,232.75
